"Country","Region/State","City","Zip From","Zip To","Package Id","Weight From","Weight To","Price From","Price To","Item From","Item To","Customer Group","Shipping Price","Algorithm","Delivery Type","Notes"
"GBR","*","*","*","*","FREE","*","*","*","*","*","*","*",0,"M=39.99","2-3 Day Delivery","zone a,b"
"GBR","*","*","*","*","SMALL","*","*","*","*","*","*","*",5.99,"M=39.99","2-3 Day Delivery","zone a,b"
"GBR","*","*","*","*","MEDIUM","*","*","*","*","*","*","*",19.99,"M=39.99","2-3 Day Delivery","zone a,b"
"GBR","*","*","*","*","LARGE","*","*","*","*","*","*","*",39.99,"M=39.99","2-3 Day Delivery","zone a,b"
"GBR","*","*","IV%,KW%","*","FREE","*","*","*","*","*","*","*",0,"M=99","2-3 Day Delivery","zone g"
"GBR","*","*","IV%,KW%","*","SMALL","*","*","*","*","*","*","*",5.99,"M=99","2-3 Day Delivery","zone g"
"GBR","*","*","IV%,KW%","*","MEDIUM","*","*","*","*","*","*","*",19.99,"M=99","2-3 Day Delivery","zone g"
"GBR","*","*","IV%,KW%","*","LARGE","*","*","*","*","*","*","*",99,"M=99","2-3 Day Delivery","zone g"
"GBR","*","*","AB%,DD%,PH%,PA%","*","FREE","*","*","*","*","*","*","*",0,"M=69","2-3 Day Delivery","zone f"
"GBR","*","*","AB%,DD%,PH%,PA%","*","SMALL","*","*","*","*","*","*","*",5.99,"M=69","2-3 Day Delivery","zone f"
"GBR","*","*","AB%,DD%,PH%,PA%","*","MEDIUM","*","*","*","*","*","*","*",19.99,"M=69","2-3 Day Delivery","zone f"
"GBR","*","*","AB%,DD%,PH%,PA%","*","LARGE","*","*","*","*","*","*","*",69,"M=69","2-3 Day Delivery","zone f"
"GBR","*","*","FK%,KY%,G%,EH%,KA%,ML%,TD%,DG%","*","FREE","*","*","*","*","*","*","*",0,"M=53","2-3 Day Delivery","zone e"
"GBR","*","*","FK%,KY%,G%,EH%,KA%,ML%,TD%,DG%","*","SMALL","*","*","*","*","*","*","*",5.99,"M=53","2-3 Day Delivery","zone e"
"GBR","*","*","FK%,KY%,G%,EH%,KA%,ML%,TD%,DG%","*","MEDIUM","*","*","*","*","*","*","*",19.99,"M=53","2-3 Day Delivery","zone e"
"GBR","*","*","FK%,KY%,G%,EH%,KA%,ML%,TD%,DG%","*","LARGE","*","*","*","*","*","*","*",53,"M=53","2-3 Day Delivery","zone e"
"GBR","*","*","EX%,PL%TQ%,TR%","*","FREE","*","*","*","*","*","*","*",0,"M=53","2-3 Day Delivery","zone D"
"GBR","*","*","EX%,PL%TQ%,TR%","*","SMALL","*","*","*","*","*","*","*",5.99,"M=53","2-3 Day Delivery","zone D"
"GBR","*","*","EX%,PL%TQ%,TR%","*","MEDIUM","*","*","*","*","*","*","*",19.99,"M=53","2-3 Day Delivery","zone D"
"GBR","*","*","EX%,PL%TQ%,TR%","*","LARGE","*","*","*","*","*","*","*",53,"M=53","2-3 Day Delivery","zone D"
