Country,Region/State,City,Zip From,Zip To,Shipping Group,Weight >,Weight <=,Price >,Price <=,Qty >,Qty <=,Customer Group,Shipping Price,Algorithm,Delivery Type,Notes
US,*,*,*,*,BOOK,*,*,*,*,*,*,*,3,,Ground,*
US,*,*,*,*,CD,*,*,*,*,*,*,*,1,,Ground,*
US,*,*,*,*,DVD,*,*,*,*,*,*,*,2,,Ground,*
US,*,*,*,*,BOOK,*,*,*,*,*,*,*,8,,Next Day,*
US,*,*,*,*,CD,*,*,*,*,*,*,*,6,,Next Day,*
US,*,*,*,*,DVD,*,*,*,*,*,*,*,7,,Next Day,*
*,*,*,*,*,BOOK,*,*,*,*,*,*,*,15,,International,*
*,*,*,*,*,CD,*,*,*,*,*,*,*,13,,International,*
*,*,*,*,*,DVD,*,*,*,*,*,*,*,14,,International,*
US,*,*,*,*,*,*,*,100,*,*,*,*,0,,Free Shipping,*
*,*,*,*,*,*,*,*,199,*,*,*,*,0,,Free Shipping,*
