Country,Region/State,City,Zip From,Zip To,Shipping Group,Weight >,Weight <=,Price >,Price <=,Qty >,Qty <=,Customer Group,Shipping Price,Algorithm,Delivery Type,Notes
USA,AZ,*,*,*,CHOCOLATE,*,*,*,*,*,*,*,100,,Ground,*
USA,CA,*,*,*,CHOCOLATE,*,*,*,*,*,*,*,30,,Next Day Air,*
USA,CA,*,*,*,CHOCOLATE,*,*,*,*,*,*,*,50,,Ground,*
USA,*,*,*,*,CHOCOLATE,*,*,*,*,*,*,*,10,,Ground,*
USA,*,*,*,*,CHOCOLATE,*,*,*,*,*,*,*,15,,Next Day Air,*
USA,*,*,*,*,*,*,*,*,*,*,*,*,0,,Ground,*
USA,*,*,*,*,*,*,*,*,*,*,*,*,0,,Next Day Air,*
USA,*,*,*,*,*,*,*,*,*,*,*,*,0,,3 Day Select,*
USA,*,*,*,*,*,*,*,*,*,*,*,*,0,,2nd Day Air,*
USA,*,*,*,*,*,*,*,*,*,*,*,*,0,,Next Day Air Saver,*
USA,*,*,*,*,*,*,*,*,*,*,*,*,0,,Next Day Air Early AM,*
