Country,Region/State,City,Zip From,Zip To,Shipping Group,Weight >,Weight <=,Price >,Price <=,Qty >,Qty <=,Customer Group,Shipping Price,Algorithm,Delivery Type,Notes
US,*,*,*,*,SPECIAL,*,*,*,*,0,1,*,5,,Standard Shipping,*
US,*,*,*,*,SPECIAL,*,*,*,*,0,1,*,8,,Express Shipping,*
US,*,*,*,*,SPECIAL,*,*,*,*,1,2,*,10,,Standard Shipping,*
US,*,*,*,*,SPECIAL,*,*,*,*,1,2,*,16,,Express Shipping,*
US,*,*,*,*,SPECIAL,*,*,*,*,2,3,*,15,,Standard Shipping,*
US,*,*,*,*,SPECIAL,*,*,*,*,2,3,*,24,,Express Shipping,*
US,*,*,*,*,SPECIAL,*,*,*,*,3,4,*,20,,Standard Shipping,*
US,*,*,*,*,SPECIAL,*,*,*,*,3,4,*,32,,Express Shipping,*
US,*,*,*,*,*,*,20,*,*,*,*,*,10,,Standard Shipping,*
US,*,*,*,*,*,*,20,*,*,*,*,*,12,,Express Shipping,*
US,*,*,*,*,*,*,20,*,*,*,*,*,14,,Courier,*
US,*,*,*,*,*,20,*,*,*,*,*,*,15,,Standard Shipping,*
US,*,*,*,*,*,20,*,*,*,*,*,*,17,,Express Shipping,*
US,*,*,*,*,*,20,*,*,*,*,*,*,18,,Courier,*
