sku,store,attribute_set,type,categories,created_at,description,glass_color,glass_cutouts,glass_height,glass_thickness,glass_width,handle_style,hardware_depth,hardware_finish,hardware_length,hardware_orientation,has_options,hinge_orientation,image,image_label,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,options_container,page_layout,panel_count,panel_type,price,required_options,seal_color,seal_length,seal_type,short_description,shower_depth_max,shower_depth_min,shower_layout,shower_length_max,shower_length_min,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-A23,default,Shower Glass,simple,Shower Glass/A Panels,2015-04-08T10:50:11-07:00,23 Shower Door - A Panel,Clear,Hinges & Handle,71.5,0.375,23,,,,,,0,,no_selection,,,,,,,,,Use config,Use config,23 Shower Door - A Panel,,Product Info Column,,,A Panel,359,0,,,,23 Shower Door - A Panel,,,,,,no_selection,,,,,Enabled,Taxable Goods,no_selection,,4/8/2015 18:13:22,23-shower-door-a-panel,23-shower-door-a-panel.html,"Catalog, Search",58,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-A24.5,default,Shower Glass,simple,Shower Glass/A Panels,2015-04-08T12:17:34-07:00,24.5 Shower Door - A Panel,Clear,Hinges & Handle,71.5,0.375,24.5,,,,,,0,,,,,,,,,,,Use config,Use config,24.5 Shower Door - A Panel,,Product Info Column,,,A Panel,369,0,,,,24.5 Shower Door - A Panel,,,,,,,,,,,Enabled,Taxable Goods,,,4/8/2015 19:17:34,245-shower-door-a-panel,245-shower-door-a-panel.html,"Catalog, Search",58,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-A26,default,Shower Glass,simple,Shower Glass/A Panels,2015-04-08T12:17:34-07:00,26 Shower Door - A Panel,Clear,Hinges & Handle,71.5,0.375,26,,,,,,0,,,,,,,,,,,Use config,Use config,26 Shower Door - A Panel,,Product Info Column,,,A Panel,379,0,,,,26 Shower Door - A Panel,,,,,,,,,,,Enabled,Taxable Goods,,,4/8/2015 19:17:34,26-shower-door-a-panel,26-shower-door-a-panel.html,"Catalog, Search",58,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-A28,default,Shower Glass,simple,Shower Glass/A Panels,2015-04-08T12:17:34-07:00,28 Shower Door - A Panel,Clear,Hinges & Handle,71.5,0.375,28,,,,,,0,,,,,,,,,,,Use config,Use config,28 Shower Door - A Panel,,Product Info Column,,,A Panel,385,0,,,,28 Shower Door - A Panel,,,,,,,,,,,Enabled,Taxable Goods,,,4/8/2015 19:17:34,28-shower-door-a-panel,28-shower-door-a-panel.html,"Catalog, Search",58,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-A29,default,Shower Glass,simple,Shower Glass/A Panels,2015-04-08T12:17:34-07:00,29  Shower Door - A Panel,Clear,Hinges & Handle,71.5,0.375,29,,,,,,0,,,,,,,,,,,Use config,Use config,29  Shower Door - A Panel,,Product Info Column,,,A Panel,389,0,,,,29  Shower Door - A Panel,,,,,,,,,,,Enabled,Taxable Goods,,,4/8/2015 19:17:34,29-shower-door-a-panel,29-shower-door-a-panel.html,"Catalog, Search",58,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-A30,default,Shower Glass,simple,Shower Glass/A Panels,2015-04-08T12:17:34-07:00,30 Shower Door - A Panel,Clear,Hinges & Handle,71.5,0.375,30,,,,,,0,,,,,,,,,,,Use config,Use config,30 Shower Door - A Panel,,Product Info Column,,,A Panel,395,0,,,,30 Shower Door - A Panel,,,,,,,,,,,Enabled,Taxable Goods,,,4/8/2015 19:17:34,30-shower-door-a-panel,30-shower-door-a-panel.html,"Catalog, Search",58,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-A31,default,Shower Glass,simple,Shower Glass/A Panels,2015-04-08T12:17:34-07:00,31 Shower Door - A Panel,Clear,Hinges & Handle,71.5,0.375,31,,,,,,0,,,,,,,,,,,Use config,Use config,31 Shower Door - A Panel,,Product Info Column,,,A Panel,405,0,,,,31 Shower Door - A Panel,,,,,,,,,,,Enabled,Taxable Goods,,,4/8/2015 19:17:34,31-shower-door-a-panel,31-shower-door-a-panel.html,"Catalog, Search",58,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-A32,default,Shower Glass,simple,Shower Glass/A Panels,2015-04-08T12:17:34-07:00,32 Shower Door - A Panel,Clear,Hinges & Handle,71.5,0.375,32,,,,,,0,,,,,,,,,,,Use config,Use config,32 Shower Door - A Panel,,Product Info Column,,,A Panel,412,0,,,,32 Shower Door - A Panel,,,,,,,,,,,Enabled,Taxable Goods,,,4/8/2015 19:17:34,32-shower-door-a-panel,32-shower-door-a-panel.html,"Catalog, Search",58,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-A33,default,Shower Glass,simple,Shower Glass/A Panels,2015-04-08T12:17:34-07:00,33 Shower Door - A Panel,Clear,Hinges & Handle,71.5,0.375,33,,,,,,0,,,,,,,,,,,Use config,Use config,33 Shower Door - A Panel,,Product Info Column,,,A Panel,419,0,,,,33 Shower Door - A Panel,,,,,,,,,,,Enabled,Taxable Goods,,,4/8/2015 19:17:34,33-shower-door-a-panel,33-shower-door-a-panel.html,"Catalog, Search",58,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
