sku,sku_type,name,status,categories,attribute_set,price,short_description,stone,slab_min_width,slab_max_width,slab_min_depth,slab_max_depth,thickness,has_remnant,remnant_min_width,remnant_max_width,remnant_min_depth,remnant_max_depth,stock_type,lead_time,min_fee,stone_tier,price lookup,price_group,color,veins,splash_thickness,splash_max_width,splash_material,edge_thicknesses,edge_min_width,edge_min_depth,sink_material,min_width_single,min_width_double,min_depth_sink,sink_type,sink_width,sink_depth,tax_class_id,store,type,visibility,is_in_stock,weight,price_type,has_options,us_skus,re_skus,image,small_image,thumbnail,media_gallery,video
GRA-BIA-3CM-SLAB,1,Bianco Antique Granite Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,11.19,Bianco Antique Granite,Granite,20,120,15,25,3 cm,,,,,,In Stock Stone,,,3,3-3 cm,$$,,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-BIA-3CM-SP,,,,,,
GRA-BID-3CM-SLAB,1,Bianco Delicatus Granite Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,11.19,Bianco Delicatus Granite,Granite,20,120,15,25,3 cm,,,,,,In Stock Stone,,,3,3-3 cm,$$,,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-BIA-3CM-SP,,,,,,
GRA-BIR-2CM-SLAB,1,Bianco Romano Granite Slab in 2 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,6.19,Bianco Romano Granite,Granite,20,120,15,22,2 cm,,,,,,In Stock Stone,1 Week,,2,2-2 cm,$,,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-BIA-2CM-SP,,,,,,
GRA-BLA-2CM-SLAB,1,Black Galaxy Granite Slab in 2 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,6.19,Black Galaxy Granite,Granite,20,120,15,22,2 cm,,,,,,In Stock Stone,1 Week,,2,2-2 cm,$,,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-BLA-2CM-SP,,,,,,
GRA-BOR-3CM-SLAB,1,Bordeaux River Granite Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,11.19,Bordeaux River Granite,Granite,20,120,15,25,3 cm,,,,,,In Stock Stone,,,3,3-3 cm,$$,,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-BOR-3CM-SP,,,,,,
GRA-CHO-3CM-SLAB,1,Choco Yellow Granite Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,11.19,Choco Yellow Granite,Granite,20,120,15,25,3 cm,,,,,,In Stock Stone,,,3,3-3 cm,$$,,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-CHO-3CM-SP,,,,,,
GRA-COL-3CM-SLAB,1,Colonial Gold Granite Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,8.69,Colonial Gold Granite,Granite,20,120,15,25,3 cm,,,,,,In Stock Stone,,,2,2-3 cm,$$,,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-COL-3CM-SP,,,,,,
GRA-DEE-2CM-SLAB,1,Deep Blue Pearl Granite Slab in 2 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,6.88,Deep Blue Pearl Granite,Granite,20,120,15,22,2 cm,,,,,,In Stock Stone,1 Week,,3,3-2 cm,$,,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-DEE-2CM-SP,,,,,,
GRA-DEE-3CM-SLAB,1,Deep Blue Pearl Granite Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,8.69,Deep Blue Pearl Granite,Granite,20,120,15,25,3 cm,,,,,,In Stock Stone,,,2,2-3 cm,$$,,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-DEE-3CM-SP,,,,,,
GRA-GIA-3CM-SLAB,1,Giallo Ornamental Granite Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,8.69,Giallo Ornamental Granite,Granite,20,120,15,25,3 cm,,,,,,In Stock Stone,,,2,2-3 cm,$$,,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-GIA-3CM-SP,,,,,,
