sku,sku_type,name,status,categories,attribute_set,price,short_description,stone,slab_min_width,slab_max_width,slab_min_depth,slab_max_depth,thickness,has_remnant,remnant_min_width,remnant_max_width,remnant_min_depth,remnant_max_depth,stock_type,lead_time,min_fee,stone_tier,price lookup,price_group,tone,veins,splash_thickness,splash_max_width,edge_thicknesses,edge_min_width,edge_min_depth,sink_material,min_width_single,min_width_double,min_depth_sink,sink_type,sink_width,sink_depth,tax_class_id,store,type,visibility,is_in_stock,weight,price_type,has_options,us_skus,re_skus,image,small_image,thumbnail,media_gallery,video
GRA-BIA-3CM-SP,1,Bianco Antique Granite Backsplash in 3 cm,enabled,Vanity Tops/Backsplash,Backsplash,2,Bianco Antique Granite,Granite,,,,,3 cm,,,,,,In Stock Stone,,,3,3-3 cm,$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-BIA-3CM-SLAB,,,,,,
GRA-BID-3CM-SP,1,Bianco Delicatus Granite Backsplash in 3 cm,enabled,Vanity Tops/Backsplash,Backsplash,2,Bianco Delicatus Granite,Granite,,,,,3 cm,,,,,,In Stock Stone,,,3,3-3 cm,$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-BID-3CM-SLAB,,,,,,
GRA-BIR-2CM-SP,1,Bianco Romano Granite Backsplash in 2 cm,enabled,Vanity Tops/Backsplash,Backsplash,1.5,Bianco Romano Granite,Granite,,,,,2 cm,,,,,,In Stock Stone,1 Week,,2,2-2 cm,$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-BIR-2CM-SLAB,,,,,,
GRA-BLA-2CM-SP,1,Black Galaxy Granite Backsplash in 2 cm,enabled,Vanity Tops/Backsplash,Backsplash,1.5,Black Galaxy Granite,Granite,,,,,2 cm,,,,,,In Stock Stone,1 Week,,2,2-2 cm,$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-BLA-2CM-SLAB,,,,,,
GRA-BOR-3CM-SP,1,Bordeaux River Granite Backsplash in 3 cm,enabled,Vanity Tops/Backsplash,Backsplash,2,Bordeaux River Granite,Granite,,,,,3 cm,,,,,,In Stock Stone,,,3,3-3 cm,$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-BOR-3CM-SLAB,,,,,,
GRA-CHO-3CM-SP,1,Choco Yellow Granite Backsplash in 3 cm,enabled,Vanity Tops/Backsplash,Backsplash,2,Choco Yellow Granite,Granite,,,,,3 cm,,,,,,In Stock Stone,,,3,3-3 cm,$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-CHO-3CM-SLAB,,,,,,
GRA-COL-3CM-SP,1,Colonial Gold Granite Backsplash in 3 cm,enabled,Vanity Tops/Backsplash,Backsplash,1.75,Colonial Gold Granite,Granite,,,,,3 cm,,,,,,In Stock Stone,,,2,2-3 cm,$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-COL-3CM-SLAB,,,,,,
GRA-DEE-2CM-SP,1,Deep Blue Pearl Granite Backsplash in 2 cm,enabled,Vanity Tops/Backsplash,Backsplash,1.75,Deep Blue Pearl Granite,Granite,,,,,2 cm,,,,,,In Stock Stone,1 Week,,3,3-2 cm,$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-DEE-2CM-SLAB,,,,,,
GRA-DEE-3CM-SP,1,Deep Blue Pearl Granite Backsplash in 3 cm,enabled,Vanity Tops/Backsplash,Backsplash,1.75,Deep Blue Pearl Granite,Granite,,,,,3 cm,,,,,,In Stock Stone,,,2,2-3 cm,$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-DEE-3CM-SLAB,,,,,,
GRA-GIA-3CM-SP,1,Giallo Ornamental Granite Backsplash in 3 cm,enabled,Vanity Tops/Backsplash,Backsplash,1.75,Giallo Ornamental Granite,Granite,,,,,3 cm,,,,,,In Stock Stone,,,2,2-3 cm,$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-GIA-3CM-SLAB,,,,,,
GRA-IMP-2CM-SP,1,Imperial White Granite Backsplash in 2 cm,enabled,Vanity Tops/Backsplash,Backsplash,1,Imperial White Granite,Granite,,,,,2 cm,,,,,,In Stock Stone,1 Week,,1,1-2 cm,$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-IMP-2CM-SLAB,,,,,,
GRA-MIN-2CM-SP,1,Mint Brown Granite Backsplash in 2 cm,enabled,Vanity Tops/Backsplash,Backsplash,1,Mint Brown Granite,Granite,,,,,2 cm,,,,,,In Stock Stone,1 Week,,1,1-2 cm,$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-MIN-2CM-SLAB,,,,,,
GRA-NEW-3CM-SP,1,New Caledonia Granite Backsplash in 3 cm,enabled,Vanity Tops/Backsplash,Backsplash,1.75,New Caledonia Granite,Granite,,,,,3 cm,,,,,,In Stock Stone,,,2,2-3 cm,$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-NEW-3CM-SLAB,,,,,,
GRA-RED-2CM-SP,1,Red Stream Granite Backsplash in 2 cm,enabled,Vanity Tops/Backsplash,Backsplash,1.5,Red Stream Granite,Granite,,,,,2 cm,,,,,,In Stock Stone,1 Week,,2,2-2 cm,$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-RED-2CM-SLAB,,,,,,
GRA-RUS-2CM-SP,1,Rusty Sand Granite Backsplash in 2 cm,enabled,Vanity Tops/Backsplash,Backsplash,1,Rusty Sand Granite,Granite,,,,,2 cm,,,,,,In Stock Stone,1 Week,,1,1-2 cm,$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-RUS-2CM-SLAB,,,,,,
GRA-STE-3CM-SP,1,Steel Black Granite Backsplash in 3 cm,enabled,Vanity Tops/Backsplash,Backsplash,1.5,Steel Black Granite,Granite,,,,,3 cm,,,,,,In Stock Stone,,,1,1-3 cm,$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-STE-3CM-SLAB,,,,,,
GRA-TAN-2CM-SP,1,Tan Brown Granite Backsplash in 2 cm,enabled,Vanity Tops/Backsplash,Backsplash,1.5,Tan Brown Granite,Granite,,,,,2 cm,,,,,,In Stock Stone,1 Week,,2,2-2 cm,$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-TAN-2CM-SLAB,,,,,,
