Country,Region/State,City,Zip From,Zip To,Package Id,Weight From,Weight To,Price From,Price To,Item From,Item To,Customer Group,Shipping Price,Algorithm,Delivery Type,Notes
*,*,*,*,*,CARDS,*,*,*,*,0,14,*,16.95,,Standard,
*,*,*,*,*,CARDS,*,*,*,*,14,67,*,47.96,,Standard,
*,*,*,*,*,CARDS,*,*,*,*,67,73,*,64.9,,Standard,
*,*,*,*,*,CARDS,*,*,*,*,73,121,*,60.95,,Standard,
*,*,*,*,*,CARDS,*,*,*,*,121,145,*,108.9,,Standard,
*,*,*,*,*,CARDS,*,*,*,*,145,217,*,121.9,,Standard,
*,*,*,*,*,CARDS,*,*,*,*,217,289,*,182.85,,Standard,
*,*,*,*,*,CARDS,*,*,*,*,289,360,*,243.8,,Standard,
*,*,*,*,*,CARDS,*,*,*,*,360,433,*,304.75,,Standard,
*,*,*,*,*,CARDS,*,*,*,*,433,505,*,365.7,,Standard,
*,*,*,*,*,CARDS,*,*,*,*,505,*,*,426.65,,Standard,
USA,*,*,*,*,CARDS,*,*,*,*,0,17,*,5.3,,Standard,
USA,*,*,*,*,CARDS,*,*,*,*,18,19,*,11.35,,Standard,
USA,*,*,*,*,CARDS,*,*,*,*,19,67,*,16.65,,Standard,
USA,*,*,*,*,CARDS,*,*,*,*,67,73,*,15.45,,Standard,
USA,*,*,*,*,CARDS,*,*,*,*,73,121,*,26.8,,Standard,
USA,*,*,*,*,CARDS,*,*,*,*,121,145,*,30.9,,Standard,
USA,*,*,*,*,CARDS,*,*,*,*,145,217,*,44.75,,Standard,
USA,*,*,*,*,CARDS,*,*,*,*,217,289,*,61.8,,Standard,
USA,*,*,*,*,CARDS,*,*,*,*,289,360,*,77.25,,Standard,
USA,*,*,*,*,CARDS,*,*,*,*,360,433,*,92.7,,Standard,
USA,*,*,*,*,CARDS,*,*,*,*,433,505,*,108.15,,Standard,
USA,*,*,*,*,CARDS,*,*,*,*,505,*,*,123.6,,Standard,
CAN,*,*,*,*,CARDS,*,*,*,*,0,17,*,5.3,,Standard,
CAN,*,*,*,*,CARDS,*,*,*,*,18,19,*,11.35,,Standard,
CAN,*,*,*,*,CARDS,*,*,*,*,19,67,*,16.65,,Standard,
CAN,*,*,*,*,CARDS,*,*,*,*,67,73,*,15.45,,Standard,
CAN,*,*,*,*,CARDS,*,*,*,*,73,121,*,26.8,,Standard,
CAN,*,*,*,*,CARDS,*,*,*,*,121,145,*,30.9,,Standard,
CAN,*,*,*,*,CARDS,*,*,*,*,145,217,*,44.75,,Standard,
CAN,*,*,*,*,CARDS,*,*,*,*,217,289,*,61.8,,Standard,
CAN,*,*,*,*,CARDS,*,*,*,*,289,360,*,77.25,,Standard,
CAN,*,*,*,*,CARDS,*,*,*,*,360,433,*,92.7,,Standard,
CAN,*,*,*,*,CARDS,*,*,*,*,433,505,*,108.15,,Standard,
CAN,*,*,*,*,CARDS,*,*,*,*,505,*,*,123.6,,Standard,
